,customerID,Partner,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,tenure,MonthlyCharges,CLTV,Satisfaction Score,Churn,AgeGroup
0,7590-VHVEG,Yes,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,1,29.85,3964,3,No,Middle Age (30–59)
1,5575-GNVDE,No,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,34,56.95,3441,3,No,Middle Age (30–59)
2,3668-QPYBK,No,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,2,53.85,3239,1,Yes,Middle Age (30–59)
3,7795-CFOCW,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),45,42.3,4307,3,No,Middle Age (30–59)
4,9237-HQITU,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,2,70.7,2701,2,Yes,Under 30
5,9305-CDSKC,No,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,8,99.65,5372,3,Yes,Middle Age (30–59)
6,1452-KIOVK,No,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),22,89.1,4459,4,No,Middle Age (30–59)
7,6713-OKOMC,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,10,29.75,2013,3,No,Middle Age (30–59)
8,7892-POOKP,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,28,104.8,5003,3,Yes,Under 30
9,6388-TABGU,No,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),62,56.15,4529,4,No,Middle Age (30–59)
10,9763-GRSKD,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,13,49.95,5764,3,No,Middle Age (30–59)
11,7469-LKBCI,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),16,18.95,4726,3,No,Under 30
12,8091-TTVAX,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),58,100.35,6432,3,No,Middle Age (30–59)
13,0280-XJGEX,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),49,103.7,5340,1,Yes,Middle Age (30–59)
14,5129-JLPIS,No,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,25,105.5,5822,3,No,Under 30
15,3655-SNQYZ,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),69,113.25,5141,4,No,Middle Age (30–59)
16,8191-XWSZG,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,52,20.65,5186,4,No,Middle Age (30–59)
17,9959-WOFKT,No,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),71,106.7,4479,3,No,Middle Age (30–59)
18,4190-MFLUW,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),10,55.2,5925,1,Yes,Under 30
19,4183-MYFRB,No,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,21,90.05,5982,3,No,Middle Age (30–59)
20,8779-QRDMV,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,1,39.65,5433,3,Yes,Senior (≥ 60)
21,1680-VDCWW,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),12,19.8,5279,4,No,Middle Age (30–59)
22,1066-JKSGK,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,1,20.15,4832,1,Yes,Under 30
23,3638-WEABW,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),58,59.9,6407,3,No,Under 30
24,6322-HRPFA,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),49,59.6,4986,3,No,Middle Age (30–59)
25,6865-JZNKO,No,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),30,55.3,2725,4,No,Under 30
26,6467-CHFZW,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,47,99.35,5789,1,Yes,Middle Age (30–59)
27,8665-UTDHZ,Yes,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,1,30.2,2915,1,Yes,Under 30
28,5248-YGIJN,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),72,90.25,5974,3,No,Middle Age (30–59)
29,8773-HHUOZ,No,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,17,64.7,3022,1,Yes,Under 30
30,3841-NFECX,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),71,96.35,5309,4,No,Senior (≥ 60)
31,4929-XIHVW,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),2,95.5,4449,5,No,Senior (≥ 60)
32,6827-IEAUQ,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,27,66.15,3213,3,No,Middle Age (30–59)
33,7310-EGVHZ,No,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),1,20.2,5526,5,No,Middle Age (30–59)
34,3413-BMNZE,No,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),1,45.25,3144,3,No,Senior (≥ 60)
35,6234-RAAPL,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),72,99.9,5915,4,No,Middle Age (30–59)
36,6047-YHPVI,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,5,69.7,2454,1,Yes,Middle Age (30–59)
37,6572-ADKRS,No,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),46,74.8,3395,3,No,Under 30
38,5380-WJKOV,No,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,34,106.35,2941,2,Yes,Middle Age (30–59)
39,8168-UQWWF,No,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),11,97.85,5674,3,Yes,Middle Age (30–59)
